,Training Mean RMSLE,Testing Mean RMSLE,Model Train/Fit Time,Model Testing Prediction Time
Best kNN ORIGINAL deleted,0.9322,0.953762,0.025542,0.1611192226
Best kNN ORIGINAL mean,0.92,0.930471,0.025826,0.1693601608
Best kNN ORIGINAL to_0,0.89,0.894491,0.030936,0.1712112427
Best kNN PCA deleted,0.9452,1.115540,0.00922,0.0413551331
Best kNN PCA mean,0.9381,1.059280,0.007577000000000000,0.0431828499
Best kNN PCA to_0,0.9166,1.011844,0.008941,0.0438582897
Best MLP ORIGINAL deleted,1.2016,1.046250,6.867978,0.0094048977
Best MLP ORIGINAL mean,1.2307,1.216725,3.933944,0.0105957985
Best MLP ORIGINAL to_0,1.2074,1.101327,7.912916,0.0092887878
Best MLP PCA deleted,1.2088,1.321168,1.477828,0.0036125183
Best MLP PCA mean,1.2067,1.201377,0.51575,0.0044944286
Best MLP PCA to_0,1.2145,1.207828,6.786579,0.0198295116
Best Decision Tree ORIGINAL deleted,0.9603,1.030823,7.102805,0.0086092949
Best Decision Tree ORIGINAL mean,0.8399,0.889489,0.060143000000000000,0.0083897114
Best Decision Tree ORIGINAL to_0,0.8228,0.863990,0.064469,0.0082714558
Best Decision Tree PCA deleted,1.0639,1.190254,9.116395000000000,0.0024628639
Best Decision Tree PCA mean,1.0858,1.218490,0.128591,0.0027856827
Best Decision Tree PCA to_0,1.0494,1.214200,0.124783,0.0024607182
Best SVM ORIGINAL deleted,1.1129,1.062610,2.403148,0.9146115780
Best SVM ORIGINAL mean,1.1093,1.058827,2.46109,0.9767858982
Best SVM ORIGINAL to_0,1.1093,1.058758,2.528197,0.9726889133
Best SVM PCA deleted,0.9059,1.135051,0.8273300000000000,0.2670037746
Best SVM PCA mean,0.8953,1.168529,0.8505440000000000,0.2719955444
Best SVM PCA to_0,0.8877,1.166285,0.8622630000000000,0.2742013931
Best Random Forest ORIGINAL deleted,0.8507,0.831834,29.891371000000000,0.0434236526
Best Random Forest ORIGINAL mean,0.7222,0.731904,1409.782484,0.1026821136
Best Random Forest ORIGINAL to_0,0.7041,0.718152,629.0325890000000,0.0488283634
Best Random Forest PCA deleted,0.9557,0.990552,449.36287,0.0322637558
Best Random Forest PCA mean,0.9549,0.984259,508.008882,0.0316238403
Best Random Forest PCA to_0,0.9562,0.962695,548.5420190000000,0.0322535038
Best Linear Regression ORIGINAL deleted,N/A,7.296916,N/A,0.0092852116
Best Linear Regression ORIGINAL mean,N/A,7.435435,N/A,0.0089151859
Best Linear Regression ORIGINAL to_0,N/A,7.546102,N/A,0.0099709034
Best Linear Regression PCA deleted,N/A,1.521211,N/A,0.0027773380
Best Linear Regression PCA mean,N/A,1.563591,N/A,0.0158514977
Best Linear Regression PCA to_0,N/A,1.550057,N/A,0.0096263885